window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787127043.130904,1787127043.2049038,1500,1787127043.205904,1787127043.229904,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787127043.130904,1787127043.229904,2000,1787127043.2309039,1787127043.254904,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787127043.130904,1787127043.254904,2500,1787127043.255904,1787127043.279904,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787127043.130904,1787127043.279904,3000,1787127043.280904,1787127043.304904,500,-80.99317547766623,-137.64350114881563,-1.3764350114881563,2.339760961392124,0.14336115942588357,-10.454937267764064,0.27334133126417015,8,2,6,0.079709034240771,25.0,{}
4,1787127043.130904,1787127043.304904,3500,1787127043.305904,1787127043.3299038,500,-42.14470118052304,-158.72945453087414,-1.5872945453087415,1.9427574823979314,0.2537895680883176,-8.362721839875318,0.26252711086120706,11,4,7,0.08045301282798784,36.36363636363637,{}
5,1787127043.130904,1787127043.3299038,4000,1787127043.330904,1787127043.354904,500,0.0,-22.887757726437485,-0.22887757726437483,1.3210498168444127,0.0,-9.632924921217104,0.2893678697279173,2,0,2,0.08117881861035442,0.0,{}
6,1787127043.130904,1787127043.354904,4500,1787127043.3559039,1787127043.379904,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787127043.130904,1787127043.379904,5000,1787127043.380904,1787127043.404904,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787127043.130904,1787127043.404904,5500,1787127043.405904,1787127043.429904,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787127043.130904,1787127043.429904,6000,1787127043.430904,1787127043.4549038,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
